,Fichero,Identificador,Fecha,Fecha_Clasificacion,Objeto,Trayectoria_1,Trayectoria_2,Grosor_1,Grosor_2,Retirada
78,""":{""retired"":{""id"":116920517,""workflow_id"":22731,""classifications_count"":16,""created_at"":""2023-06-08T10:06:15.442Z"",""updated_at"":""2023-06-13T23:38:08.070Z"",""retired_at"":""2023-06-13T23:38:08.050Z"",""subject_id"":89716126,""retirement_reason"":""classification_count""}",89716126,"20517,""workflow_id"":22731,""classifications_count"":16,""created_at"":""2023-06-08T10:06:1",20230614,Other,,,,,True
79,""":{""retired"":{""id"":116920335,""workflow_id"":22731,""classifications_count"":16,""created_at"":""2023-06-08T10:01:42.729Z"",""updated_at"":""2023-06-13T19:47:38.502Z"",""retired_at"":""2023-06-13T19:47:38.494Z"",""subject_id"":89716173,""retirement_reason"":""classification_count""}",89716173,"20335,""workflow_id"":22731,""classifications_count"":16,""created_at"":""2023-06-08T10:01:4",20230614,Other,,,,,True
80,""":{""retired"":{""id"":116920461,""workflow_id"":22731,""classifications_count"":16,""created_at"":""2023-06-08T10:04:57.847Z"",""updated_at"":""2023-06-14T00:02:46.258Z"",""retired_at"":""2023-06-14T00:02:46.246Z"",""subject_id"":89716142,""retirement_reason"":""classification_count""}",89716142,"20461,""workflow_id"":22731,""classifications_count"":16,""created_at"":""2023-06-08T10:04:5",20230614,Lightning,,,,,True
81,""":{""retired"":{""id"":116920406,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:03:28.571Z"",""updated_at"":""2023-06-14T07:03:21.029Z"",""retired_at"":""2023-06-14T07:03:21.020Z"",""subject_id"":89716175,""retirement_reason"":""classification_count""}",89716175,"20406,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:03:2",20230614,Other,,,,,False
82,""":{""retired"":null",89716098,,20230614,Other,,,,,False
83,""":{""retired"":{""id"":116920469,""workflow_id"":22731,""classifications_count"":16,""created_at"":""2023-06-08T10:05:05.764Z"",""updated_at"":""2023-06-14T00:06:54.834Z"",""retired_at"":""2023-06-14T00:06:54.822Z"",""subject_id"":89716187,""retirement_reason"":""classification_count""}",89716187,"20469,""workflow_id"":22731,""classifications_count"":16,""created_at"":""2023-06-08T10:05:0",20230614,Other,,,,,True
84,""":{""retired"":null",89716132,,20230614,Lightning,,,,,False
85,""":{""retired"":{""id"":116920465,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:05:05.637Z"",""updated_at"":""2023-06-14T01:38:42.580Z"",""retired_at"":""2023-06-14T01:38:42.569Z"",""subject_id"":89716159,""retirement_reason"":""classification_count""}",89716159,"20465,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:05:0",20230614,Other,,,,,False
86,""":{""retired"":{""id"":116920509,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:06:03.602Z"",""updated_at"":""2023-06-14T06:59:16.340Z"",""retired_at"":""2023-06-14T06:59:16.332Z"",""subject_id"":89716171,""retirement_reason"":""classification_count""}",89716171,"20509,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:06:0",20230614,Other,,,,,False
87,""":{""retired"":null",89716191,,20230614,Meteoro,"[532.3701523224269, 56.57685047556553]","[555.4793518838532, 78.29379771321611]","[521.12768554687, 60.4975128173828]","[533.86401367187, 81.724708557128]",False
88,""":{""retired"":{""id"":116920484,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:05:39.302Z"",""updated_at"":""2023-06-14T04:26:54.365Z"",""retired_at"":""2023-06-14T04:26:54.358Z"",""subject_id"":89716186,""retirement_reason"":""classification_count""}",89716186,"20484,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:05:3",20230614,Other,,,,,False
89,""":{""retired"":null",89716093,,20230614,Meteoro,"[1017.940376218613, 201.11654853820795]","[1071.1104888909695, 194.90485763549793]","[0, 0]","[0, 0]",False
90,""":{""retired"":{""id"":116920399,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:03:17.970Z"",""updated_at"":""2023-06-14T02:17:13.257Z"",""retired_at"":""2023-06-14T02:17:13.186Z"",""subject_id"":89716165,""retirement_reason"":""classification_count""}",89716165,"20399,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:03:1",20230614,Other,,,,,True
91,""":{""retired"":null",89716118,,20230614,Lightning,,,,,False
92,""":{""retired"":{""id"":116920356,""workflow_id"":22731,""classifications_count"":16,""created_at"":""2023-06-08T10:02:07.342Z"",""updated_at"":""2023-06-13T19:49:54.854Z"",""retired_at"":""2023-06-13T19:49:54.846Z"",""subject_id"":89716185,""retirement_reason"":""classification_count""}",89716185,"20356,""workflow_id"":22731,""classifications_count"":16,""created_at"":""2023-06-08T10:02:0",20230614,Meteoro,"[1011.6336720742371, 408.81440226232786]","[1035.1593017569744, 395.87700144449803]","[0, 0]","[0, 0]",True
93,""":{""retired"":null",89716104,,20230614,Lightning,,,,,False
94,""":{""retired"":null",89716130,,20230614,Other,,,,,False
95,""":{""retired"":null",89716145,,20230614,Lightning,,,,,False
96,""":{""retired"":{""id"":116920476,""workflow_id"":22731,""classifications_count"":16,""created_at"":""2023-06-08T10:05:22.209Z"",""updated_at"":""2023-06-14T00:04:39.521Z"",""retired_at"":""2023-06-14T00:04:39.510Z"",""subject_id"":89716127,""retirement_reason"":""classification_count""}",89716127,"20476,""workflow_id"":22731,""classifications_count"":16,""created_at"":""2023-06-08T10:05:2",20230614,Clouds,,,,,True
97,""":{""retired"":null",89716119,,20230614,Other,,,,,False
98,""":{""retired"":null",89716124,,20230614,Lightning,,,,,False
99,""":{""retired"":null",89716155,,20230614,Lightning,,,,,False
100,""":{""retired"":{""id"":116920353,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:01:59.636Z"",""updated_at"":""2023-06-14T02:14:52.681Z"",""retired_at"":""2023-06-14T02:14:52.671Z"",""subject_id"":89716140,""retirement_reason"":""classification_count""}",89716140,"20353,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:01:5",20230614,Lightning,,,,,False
101,""":{""retired"":null",89716134,,20230614,Lightning,,,,,False
102,""":{""retired"":{""id"":116920520,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:06:24.526Z"",""updated_at"":""2023-06-14T04:28:07.641Z"",""retired_at"":""2023-06-14T04:28:07.632Z"",""subject_id"":89716113,""retirement_reason"":""classification_count""}",89716113,"20520,""workflow_id"":22731,""classifications_count"":15,""created_at"":""2023-06-08T10:06:2",20230614,Lightning,,,,,False
103,""":{""retired"":null",89716120,,20230614,Lightning,,,,,False
104,""":{""retired"":null",89716156,,20230614,Other,,,,,False
105,""":{""retired"":null",89716117,,20230614,Lightning,,,,,False
